Cloudlet ID,Status,Datacenter ID,VM ID,Actual CPU Time,Start Time,End Time,Task Size,Wait Time,Response Time,Makespan,Turnaround Time
214,SUCCESS,2,14,4.57,0.01,4.58,Small,0.00,4.57,4.57,4.57
687,SUCCESS,2,35,4.57,0.01,4.58,Small,0.00,4.57,4.57,4.57
729,SUCCESS,2,9,4.57,0.01,4.58,Small,0.00,4.57,4.57,4.57
230,SUCCESS,2,31,4.58,0.01,4.59,Small,0.00,4.58,4.58,4.58
774,SUCCESS,2,42,4.58,0.01,4.59,Small,0.00,4.58,4.58,4.58
437,SUCCESS,2,20,4.60,0.01,4.61,Small,0.00,4.60,4.60,4.60
834,SUCCESS,2,23,4.60,0.01,4.61,Small,0.00,4.60,4.60,4.60
1066,SUCCESS,2,59,4.60,0.01,4.61,Medium,0.00,4.60,4.60,4.60
773,SUCCESS,2,17,4.61,0.01,4.62,Small,0.00,4.61,4.61,4.61
842,SUCCESS,2,39,4.61,0.01,4.62,Small,0.00,4.61,4.61,4.61
997,SUCCESS,2,55,4.63,0.01,4.64,Medium,0.00,4.63,4.63,4.63
655,SUCCESS,2,20,4.64,0.01,4.65,Small,0.00,4.64,4.64,4.64
93,SUCCESS,2,18,4.64,0.01,4.65,Small,0.00,4.64,4.64,4.64
222,SUCCESS,2,32,4.65,0.01,4.66,Small,0.00,4.65,4.65,4.65
123,SUCCESS,2,9,4.65,0.01,4.66,Small,0.00,4.65,4.65,4.65
602,SUCCESS,2,21,4.67,0.01,4.68,Small,0.00,4.67,4.67,4.67
694,SUCCESS,2,14,4.68,0.01,4.69,Small,0.00,4.68,4.68,4.68
197,SUCCESS,2,21,4.70,0.01,4.71,Small,0.00,4.70,4.70,4.70
400,SUCCESS,2,24,4.70,0.01,4.71,Small,0.00,4.70,4.70,4.70
65,SUCCESS,2,41,4.72,0.01,4.73,Small,0.00,4.72,4.72,4.72
514,SUCCESS,2,36,4.72,0.01,4.73,Small,0.00,4.72,4.72,4.72
1042,SUCCESS,2,59,4.72,0.01,4.73,Medium,0.00,4.72,4.72,4.72
373,SUCCESS,2,30,4.73,0.01,4.74,Small,0.00,4.73,4.73,4.73
1105,SUCCESS,2,71,4.73,0.01,4.74,Medium,0.00,4.73,4.73,4.73
885,SUCCESS,2,26,4.73,0.01,4.74,Small,0.00,4.73,4.73,4.73
200,SUCCESS,2,17,4.73,0.01,4.74,Small,0.00,4.73,4.73,4.73
765,SUCCESS,2,17,4.73,0.01,4.74,Small,0.00,4.73,4.73,4.73
202,SUCCESS,2,49,4.73,0.01,4.74,Small,0.00,4.73,4.73,4.73
798,SUCCESS,2,20,4.75,0.01,4.76,Small,0.00,4.75,4.75,4.75
480,SUCCESS,2,14,4.76,0.01,4.77,Small,0.00,4.76,4.76,4.76
265,SUCCESS,2,28,4.76,0.01,4.77,Small,0.00,4.76,4.76,4.76
162,SUCCESS,2,20,4.78,0.01,4.79,Small,0.00,4.78,4.78,4.78
116,SUCCESS,2,30,4.78,0.01,4.79,Small,0.00,4.78,4.78,4.78
18,SUCCESS,2,1,4.86,0.01,4.87,Small,0.00,4.86,4.86,4.86
647,SUCCESS,2,1,4.87,0.01,4.88,Small,0.00,4.87,4.87,4.87
1070,SUCCESS,2,71,4.89,0.01,4.90,Medium,0.00,4.89,4.89,4.89
642,SUCCESS,2,38,4.89,0.01,4.90,Small,0.00,4.89,4.89,4.89
297,SUCCESS,2,2,4.90,0.01,4.91,Small,0.00,4.90,4.90,4.90
491,SUCCESS,2,18,4.90,0.01,4.91,Small,0.00,4.90,4.90,4.90
61,SUCCESS,2,19,4.90,0.01,4.91,Small,0.00,4.90,4.90,4.90
512,SUCCESS,2,19,4.92,0.01,4.93,Small,0.00,4.92,4.92,4.92
